name,출전
三山里,호구총수
三山面,호구총수
三岐,역지사지LV3
三岐坊,호구총수
三岐山,신증동국여지승람
三岐峴,신증동국여지승람
三岐川,여지도서
三岐里,호구총수
三岐院,군현역원
三岐面,호구총수
三岳山,여지도서
三峙里,호구총수
三峯,역지사지LV3·호구총수
三峯山,신증동국여지승람·여지도서
三峯村,호구총수
三峯處,특수구역
三峯里,호구총수
三峰,역지사지LV3
三峰山,세종실록지리지
三峰浦里,호구총수
三峰里,호구총수
三峰面,호구총수
三峴一里,호구총수
三峴二里,호구총수
三峴村,호구총수
三峴里,호구총수
三島里,호구총수
三巖,호구총수
三巖里,호구총수
三川,여지도서·역지사지LV3·호구총수
三川山,여지도서
三川村,호구총수
三川洞,호구총수
三川洞里,호구총수
三川里,호구총수
三巨村,호구총수
三巨洞,호구총수
三巨里,호구총수
三巨里里,호구총수
三師洞,호구총수
三平,역지사지LV3
三平社,호구총수
三弓洞,호구총수
三彌川,여지도서
三徒里,호구총수
三德,역지사지LV3
三德村,호구총수
三德里,호구총수
三思浪海里,호구총수
三思浪陸里,호구총수
三思里,호구총수
三成,역지사지LV3
三所旨,역지사지LV3
三所里,호구총수
三支川,여지도서
三支川里,호구총수
三支廢縣,특수구역
三支江,여지도서·역지사지LV3
三支江坊,호구총수
三支里,호구총수
三支院,호구총수
三政洞坊,호구총수
三政洞里,호구총수
三政院里,호구총수
三方山,신증동국여지승람·여지도서
三方洞,호구총수
三方里,호구총수
三旀谷,역지사지LV3
三日,역지사지LV3·특수구역
三日浦,여지도서·역지사지LV3·특수구역
三日浦鄕,특수구역
三日浦面,호구총수
三星里,호구총수
三春洞,호구총수
三會洞,호구총수
三月亭,호구총수
三朝陽里,호구총수
三木,역지사지LV3
三木島,신증동국여지승람
三木面,호구총수
三朶山,여지도서
三村,역지사지LV3
三村里,호구총수
三村面,호구총수
三東村,호구총수
三東閭,호구총수
三東面,호구총수
三松亭里,호구총수
三松里,호구총수
三枝,역지사지LV3
三枝面,호구총수
三梗嶺,여지도서
三梗里,호구총수
三槐亭,호구총수
三槐亭里,호구총수
三槐洞里,호구총수
三樂亭,호구총수
三樂里,호구총수
三歸,호구총수
三每陽岳,여지도서
三水,군현역원·역지사지LV3
三水洞,호구총수
